method,epochs,Real Authors ROUGE,Real Authors Probability,Real Authors Truth Ratio,Real Authors Token Entropy,Real Authors Cosine Similarity,Real Authors Entailment Score,Real World ROUGE,Real World Probability,Real World Truth Ratio,Real World Token Entropy,Real World Cosine Similarity,Real World Entailment Score,Retain ROUGE,Retain Probability,Retain Truth Ratio,Retain Token Entropy,Retain Cosine Similarity,Retain Entailment Score,Forget ROUGE,Forget Probability,Forget Truth Ratio,Forget Token Entropy,Forget Cosine Similarity,Forget Entailment Score
GA2,1,0.6658,0.5077,0.9074,0.9729,0.8026,0.63,0.8083,0.1723,0.6215,0.944,0.7369,0.65,0.7505,0.9988,0.4681,0.9616,0.9072,0.6267,0.6001,0.2574,0.9266,0.9622,0.8753,0.475
GA2,2,0.6792,0.5048,0.9077,0.9844,0.7905,0.64,0.83,0.1653,0.6215,0.9131,0.7174,0.65,0.7445,0.9991,0.4725,0.9595,0.9034,0.63,0.5591,0.2322,0.9281,0.9604,0.8722,0.5
GA2,3,0.6702,0.4855,0.9066,0.976,0.779,0.61,0.7867,0.149,0.6157,0.9353,0.707,0.63,0.6594,0.9849,0.4807,0.9648,0.8759,0.59,0.4472,0.1585,0.9332,0.965,0.7933,0.35
GA2,4,0.6768,0.4686,0.9062,0.9759,0.7649,0.65,0.7667,0.1368,0.6117,0.9377,0.6925,0.62,0.5743,0.824,0.4904,0.9656,0.8032,0.5667,0.3383,0.0926,0.935,0.9653,0.6555,0.2
GA2,5,0.6725,0.4356,0.9029,0.9782,0.7632,0.62,0.7633,0.1232,0.6066,0.9651,0.715,0.57,0.5033,0.6483,0.4978,0.9595,0.7569,0.4933,0.3508,0.0514,0.9325,0.9592,0.6552,0.1
GA2+GD2,1,0.7025,0.5033,0.9076,0.9736,0.7978,0.63,0.815,0.1734,0.6268,0.9044,0.6934,0.66,0.7468,0.9981,0.4708,0.9612,0.9023,0.6233,0.6432,0.261,0.9271,0.9646,0.8961,0.475
GA2+GD2,2,0.7075,0.5056,0.9076,0.9839,0.8055,0.65,0.7725,0.1692,0.6235,0.9237,0.7006,0.64,0.7465,0.9989,0.473,0.9621,0.9064,0.6333,0.5778,0.2429,0.9293,0.9401,0.8625,0.475
GA2+GD2,3,0.6632,0.4912,0.9079,0.9638,0.7707,0.62,0.7867,0.1553,0.6219,0.9152,0.6903,0.62,0.6565,0.9826,0.4795,0.9597,0.8759,0.5667,0.4832,0.1757,0.9342,0.9626,0.8002,0.35
GA2+GD2,4,0.6342,0.4671,0.9062,0.967,0.7553,0.61,0.815,0.1419,0.6146,0.9472,0.6643,0.63,0.6022,0.9176,0.4893,0.962,0.8364,0.5667,0.3786,0.1213,0.9352,0.9574,0.6891,0.175
GA2+GD2,5,0.6575,0.4432,0.9026,0.9791,0.7579,0.64,0.7887,0.1302,0.6075,0.9599,0.6667,0.65,0.543,0.8554,0.498,0.9574,0.8019,0.5267,0.3322,0.0763,0.9366,0.9302,0.6204,0.15
GA2+KL2,1,0.6958,0.5091,0.9073,0.9849,0.8223,0.66,0.7683,0.1742,0.6223,0.9328,0.7183,0.62,0.7551,0.9988,0.4683,0.9595,0.9079,0.6433,0.5932,0.2577,0.9261,0.9624,0.8868,0.525
GA2+KL2,2,0.6808,0.51,0.9092,0.9845,0.8039,0.63,0.8233,0.1725,0.6226,0.8948,0.719,0.65,0.7429,0.9991,0.4763,0.9594,0.898,0.58,0.5934,0.2423,0.928,0.9682,0.8873,0.525
GA2+KL2,3,0.6992,0.4994,0.9068,0.9833,0.8051,0.67,0.7667,0.16,0.6193,0.9267,0.69,0.64,0.7001,0.9953,0.4753,0.9655,0.895,0.62,0.5178,0.1892,0.9311,0.964,0.8522,0.5
GA2+KL2,4,0.6482,0.4951,0.9074,0.9835,0.788,0.59,0.765,0.1549,0.6188,0.9152,0.7141,0.57,0.6547,0.9685,0.481,0.9604,0.8637,0.56,0.4085,0.1576,0.9325,0.9619,0.6836,0.3
GA2+KL2,5,0.6688,0.4816,0.9067,0.9866,0.764,0.62,0.775,0.1466,0.6178,0.9196,0.7078,0.64,0.6115,0.911,0.4866,0.9597,0.8356,0.5133,0.3269,0.1285,0.9328,0.9567,0.6316,0.125
NPO2+GD2,1,0.6908,0.506,0.9072,0.9859,0.8178,0.67,0.7883,0.172,0.6247,0.9229,0.7,0.63,0.7501,0.9989,0.4684,0.9597,0.9048,0.6267,0.6035,0.257,0.9261,0.9617,0.8906,0.525
NPO2+GD2,2,0.6875,0.5052,0.9069,0.9847,0.8041,0.68,0.7625,0.1674,0.6192,0.9251,0.6938,0.62,0.7425,0.9986,0.4713,0.9614,0.9074,0.5933,0.5557,0.2337,0.9285,0.9692,0.8661,0.525
NPO2+GD2,3,0.6582,0.4925,0.9052,0.9866,0.7748,0.64,0.785,0.154,0.6131,0.9243,0.701,0.59,0.6671,0.9562,0.4747,0.9618,0.8791,0.5733,0.4834,0.1715,0.9309,0.9687,0.8177,0.4
NPO2+GD2,4,0.6698,0.4933,0.9051,0.9932,0.705,0.64,0.7708,0.1496,0.6121,0.9299,0.6846,0.69,0.6247,0.8504,0.4744,0.9601,0.8593,0.56,0.4288,0.1187,0.9298,0.9619,0.7714,0.425
NPO2+GD2,5,0.6658,0.4762,0.9046,0.9928,0.6982,0.63,0.7433,0.1426,0.6104,0.9444,0.708,0.63,0.6024,0.7859,0.4762,0.9591,0.8418,0.4733,0.387,0.0855,0.9319,0.9275,0.6834,0.375
NPO2+KL2,1,0.6825,0.5085,0.907,0.9732,0.7925,0.64,0.7933,0.1724,0.6231,0.9022,0.7356,0.61,0.7545,0.9988,0.4686,0.9591,0.9109,0.63,0.6005,0.2581,0.9257,0.9623,0.8822,0.525
NPO2+KL2,2,0.6952,0.5091,0.9087,0.9754,0.8106,0.68,0.79,0.1706,0.6219,0.9211,0.7224,0.61,0.7337,0.9987,0.476,0.96,0.9034,0.63,0.5543,0.2346,0.9284,0.963,0.8703,0.5
NPO2+KL2,3,0.6142,0.4891,0.9036,0.9865,0.747,0.61,0.7947,0.1527,0.6123,0.9201,0.7256,0.67,0.6927,0.9686,0.4715,0.9627,0.8853,0.5867,0.5016,0.1818,0.9295,0.9618,0.8299,0.55
NPO2+KL2,4,0.6735,0.5053,0.9074,0.9905,0.7276,0.65,0.7817,0.1551,0.6126,0.9375,0.6976,0.64,0.6544,0.8848,0.4726,0.9594,0.866,0.56,0.4256,0.1439,0.93,0.9562,0.76,0.425
NPO2+KL2,5,0.6908,0.4896,0.9041,0.9936,0.7165,0.66,0.8117,0.1498,0.6104,0.9383,0.6907,0.71,0.6061,0.8285,0.4715,0.9607,0.8476,0.5633,0.4082,0.1124,0.9312,0.9634,0.7408,0.425
